2024/06/30-13:55:53 INFO  this is myFilter, url: /OnlineJudge/contest/token - c.s.o.common.filter.MyFilter - [http-nio-127.0.0.1-8080-exec-4]
2024/06/30-13:55:53 INFO  this is myFilter, url: /OnlineJudge/contest/token - c.s.o.common.filter.MyFilter - [http-nio-127.0.0.1-8080-exec-7]
2024/06/30-13:55:53 INFO  this is myFilter, url: /OnlineJudge/contest/status - c.s.o.common.filter.MyFilter - [http-nio-127.0.0.1-8080-exec-3]
2024/06/30-13:55:53 INFO  this is myFilter, url: /OnlineJudge/websocket/2021K8009929043 - c.s.o.common.filter.MyFilter - [http-nio-127.0.0.1-8080-exec-1]
2024/06/30-13:55:53 INFO  ????:2021K8009929043 - c.s.o.common.utils.WebSocketService - [http-nio-127.0.0.1-8080-exec-1]
2024/06/30-13:55:53 INFO  2021K8009929043???? - c.s.o.common.utils.WebSocketService - [http-nio-127.0.0.1-8080-exec-11]
2024/06/30-13:55:53 INFO  this is myFilter, url: /OnlineJudge/contest/token - c.s.o.common.filter.MyFilter - [http-nio-127.0.0.1-8080-exec-9]
2024/06/30-13:55:53 INFO  this is myFilter, url: /OnlineJudge/contest/token - c.s.o.common.filter.MyFilter - [http-nio-127.0.0.1-8080-exec-16]
2024/06/30-13:55:53 INFO  this is myFilter, url: /OnlineJudge/contest/status - c.s.o.common.filter.MyFilter - [http-nio-127.0.0.1-8080-exec-15]
2024/06/30-13:55:53 INFO  this is myFilter, url: /OnlineJudge/websocket/2021K8009929043 - c.s.o.common.filter.MyFilter - [http-nio-127.0.0.1-8080-exec-5]
2024/06/30-13:55:53 INFO  ????:2021K8009929043 - c.s.o.common.utils.WebSocketService - [http-nio-127.0.0.1-8080-exec-5]
2024/06/30-13:55:54 INFO  2021K8009929043???? - c.s.o.common.utils.WebSocketService - [http-nio-127.0.0.1-8080-exec-14]
2024/06/30-13:55:54 INFO  this is myFilter, url: /OnlineJudge/contest/token - c.s.o.common.filter.MyFilter - [http-nio-127.0.0.1-8080-exec-4]
2024/06/30-13:55:54 INFO  this is myFilter, url: /OnlineJudge/contest/token - c.s.o.common.filter.MyFilter - [http-nio-127.0.0.1-8080-exec-7]
2024/06/30-13:55:54 INFO  this is myFilter, url: /OnlineJudge/contest/status - c.s.o.common.filter.MyFilter - [http-nio-127.0.0.1-8080-exec-3]
2024/06/30-13:55:54 INFO  this is myFilter, url: /OnlineJudge/websocket/2021K8009929043 - c.s.o.common.filter.MyFilter - [http-nio-127.0.0.1-8080-exec-1]
2024/06/30-13:55:54 INFO  ????:2021K8009929043 - c.s.o.common.utils.WebSocketService - [http-nio-127.0.0.1-8080-exec-1]
2024/06/30-13:55:54 INFO  2021K8009929043???? - c.s.o.common.utils.WebSocketService - [http-nio-127.0.0.1-8080-exec-11]
